Aeugst am Albis,679300,235700
Affoltern am Albis,676800,236800
Bonstetten,677800,241000
Hausen am Albis,682900,233100
Hedingen,676400,239000
Kappel am Albis,682400,231300
Knonau,677500,230900
Maschwanden,674800,232000
Mettmenstetten,677600,233000
Obfelden,675100,235300
Ottenbach,673000,237200
Rifferswil,680100,232800
Stallikon,679500,242100
Wettswil am Albis,678200,243700
Adlikon,694300,271000
Benken (ZH),691300,278800
Berg am Irchel,687200,269400
Buch am Irchel,689100,267000
Dachsen,688600,280000
Dorf,691000,269800
Feuerthalen,690400,283000
Flaach,688000,270100
Flurlingen,689400,282000
Andelfingen,693300,272200
Henggart,693600,268700
Humlikon,692700,270300
Kleinandelfingen,693600,272800
Laufen-Uhwiesen,689800,280600
Marthalen,690900,275700
Ossingen,696800,274200
Rheinau,687700,277700
Thalheim an der Thur,699000,270600
Trüllikon,694300,277100
Truttikon,696800,276200
Volken,689300,270000
Bachenbülach,683600,262000
Bassersdorf,689800,255500
Bülach,683000,263700
Dietlikon,689000,253400
Eglisau,681600,269900
Embrach,687100,262000
Freienstein-Teufen,686300,265100
Glattfelden,680000,268000
Hochfelden,681200,264100
Höri,680600,262400
Hüntwangen,679200,272200
Kloten,686300,256300
Lufingen,687200,260500
Nürensdorf,691300,255800
Oberembrach,688900,260300
Opfikon,685900,254100
Rafz,682600,274100
Rorbas,685700,264800
Wallisellen,687200,252200
Wasterkingen,677800,271600
Wil (ZH),680400,273300
Winkel,684200,260800
Bachs,675400,264300
Boppelsen,672600,258200
Buchs (ZH),675400,256800
Dällikon,675400,254800
Dänikon,672900,255400
Dielsdorf,676500,259600
Hüttikon,671500,255400
Neerach,678000,263000
Niederglatt,680300,260600
Niederhasli,678900,259500
Niederweningen,670700,262000
Oberglatt,681500,259000
Oberweningen,672900,261700
Otelfingen,671500,257200
Regensberg,675400,259600
Regensdorf,677500,253800
Rümlang,682400,256200
Schleinikon,672100,261200
Schöfflisdorf,673700,261500
Stadel,677500,264700
Steinmaur,676600,261500
Weiach,675200,267800
Bäretswil,707200,243800
Bubikon,704400,236300
Dürnten,706200,237200
Fischenthal,712100,243400
Gossau (ZH),699600,240400
Grüningen,700200,237900
Hinwil,706400,239800
Rüti (ZH),707000,235300
Seegräben,700800,244300
Wald (ZH),711700,237200
Wetzikon (ZH),702700,242100
Adliswil,682200,240700
Kilchberg (ZH),683400,241300
Langnau am Albis,683400,238100
Oberrieden,686300,236800
Richterswil,696000,229300
Rüschlikon,684400,240400
Thalwil,685500,238300
Erlenbach (ZH),687200,239800
Herrliberg,688700,237700
Hombrechtikon,700500,234300
Küsnacht (ZH),686600,241300
Männedorf,695200,234400
Meilen,691300,236100
Oetwil am See,697000,236300
Stäfa,697000,233000
Uetikon am See,693800,235400
Zumikon,689700,242900
Zollikon,685800,243800
Fehraltorf,699200,249400
Hittnau,704800,246900
Lindau,693000,255300
Pfäffikon,701700,246900
Russikon,701000,250200
Weisslingen,700000,254300
Wila,706200,253100
Wildberg,704000,253800
Dübendorf,689300,250400
Egg,694700,239600
Fällanden,690700,247300
Greifensee,693600,246800
Maur,693000,244000
Mönchaltorf,697000,240700
Schwerzenbach,692200,248800
Uster,696700,245000
Volketswil,694800,249500
Wangen-Brüttisellen,691100,251800
Altikon,701000,270000
Brütten,693100,258700
Dägerlen,696600,268600
Dättlikon,689300,264300
Dinhard,700000,268000
Ellikon an der Thur,704300,269000
Elsau,702700,262500
Hagenbuch,709200,264400
Hettlingen,695500,266900
Neftenbach,692500,264900
Pfungen,690500,263400
Rickenbach (ZH),702200,267700
Schlatt (ZH),704700,258400
Seuzach,697400,265800
Turbenthal,706100,255000
Winterthur,697200,261700
Zell (ZH),700800,257000
Aesch (ZH),675500,243300
Birmensdorf (ZH),675500,245400
Dietikon,672500,251000
Geroldswil,673400,252600
Oberengstringen,677300,251400
Oetwil an der Limmat,672200,253500
Schlieren,676200,250000
Uitikon,676600,247200
Unterengstringen,676300,251600
Urdorf,674400,248400
Weiningen (ZH),675200,252600
Zürich,683100,247100
Stammheim,702400,276500
Wädenswil,693400,231600
Elgg,707700,260900
Horgen,687800,234900
Illnau-Effretikon,694200,253700
Bauma,708700,247300
Wiesendangen,701700,264300
Aarberg,587800,210500
Bargen (BE),586600,209700
Grossaffoltern,594100,212800
Kallnach,584600,207700
Kappelen,587000,212100
Lyss,590000,213700
Meikirch,594300,206500
Radelfingen,587400,207800
Rapperswil (BE),597900,212500
Schüpfen,595400,209700
Seedorf (BE),590400,209400
Aarwangen,625100,232200
Auswil,630100,220500
Bannwil,622500,231800
Bleienbach,624100,226000
Busswil bei Melchnau,629500,226100
Gondiswil,632900,221800
Langenthal,626400,229100
Lotzwil,626700,226700
Madiswil,627300,223900
Melchnau,631300,225800
Obersteckholz,628900,227700
Oeschenbach,623400,216800
Reisiswil,630700,223900
Roggwil (BE),629000,232200
Rohrbach,628600,220600
Rohrbachgraben,627200,217300
Rütschelen,625500,224900
Schwarzhäusern,624900,233500
Thunstetten,623200,229300
Ursenbach,625300,220700
Wynau,628700,234300
Bern,600100,199700
Bolligen,604300,202600
Bremgarten bei Bern,600000,203100
Kirchlindach,598200,205500
Köniz,598300,197200
Muri bei Bern,603700,197700
Oberbalm,597400,191400
Stettlen,606500,200900
Vechigen,609300,199400
Wohlen bei Bern,593900,202500
Zollikofen,601200,205300
Ittigen,603100,202700
Ostermundigen,603600,200600
Biel/Bienne,585500,221200
Evilard,585000,222000
Arch,599300,223900
Büetigen,592700,217200
Büren an der Aare,595000,220900
Diessbach bei Büren,594200,217500
Dotzigen,592600,218800
Lengnau (BE),594500,225700
Leuzigen,601400,224800
Meienried,592400,220900
Meinisberg,593200,223200
Oberwil bei Büren,597500,219700
Pieterlen,592300,224900
Rüti bei Büren,597500,222300
Wengi,597100,214600
Aefligen,609000,216000
Alchenstorf,615500,219200
Bäriswil,606700,207600
Burgdorf,614000,211700
Ersigen,612000,216000
Hasle bei Burgdorf,616500,207300
Heimiswil,616800,212700
Hellsau,615900,221700
Hindelbank,607800,210100
Höchstetten,614700,221300
Kernenried,608200,213100
Kirchberg (BE),611000,214800
Koppigen,612500,220200
Krauchthal,609700,206500
Lyssach,610600,212900
Mötschwil,609900,211000
Oberburg,614300,209600
Rüdtligen-Alchenflüh,610000,215100
Rumendingen,615500,217200
Rüti bei Lyssach,610600,211500
Willadingen,613300,221700
Wynigen,617300,217200
Corgémont,577500,227000
Cormoret,570800,224700
Cortébert,574900,226600
Courtelary,572300,225400
La Ferrière,558700,221200
Mont-Tramelan,570100,228500
Orvin,583000,223300
Renan (BE),561300,219600
Romont (BE),592600,226400
Saint-Imier,566600,222000
Sonceboz-Sombeval,580300,227300
Sonvilier,564000,221000
Tramelan,574500,230300
Villeret,568200,223100
Sauge,588500,226400
Péry-La Heutte,585700,227000
Brüttelen,577900,208000
Erlach,574000,210300
Finsterhennen,580300,208200
Gals,570500,208600
Gampelen,571100,207100
Ins,574600,206200
Lüscherz,578200,210600
Müntschemier,577800,205000
Siselen,581100,209100
Treiten,578900,206500
Tschugg,572400,208400
Vinelz,575100,209200
Bätterkinden,607600,220000
Deisswil bei Münchenbuchsee,601300,209300
Diemerswil,599200,207500
Fraubrunnen,606500,215000
Jegenstorf,605100,210800
Iffwil,603100,212500
Mattstetten,605700,208800
Moosseedorf,603300,207200
Münchenbuchsee,600900,207800
Urtenen-Schönbühl,604500,208500
Utzenstorf,609000,219600
Wiggiswil,602300,208800
Wiler bei Utzenstorf,609100,222300
Zielebach,610400,223000
Zuzwil (BE),602600,211100
Adelboden,609200,149100
Aeschi bei Spiez,619700,167500
Frutigen,616000,159700
Kandergrund,617200,155000
Kandersteg,618100,149300
Krattigen,622100,167900
Reichenbach im Kandertal,619500,163800
Beatenberg,627300,172000
Bönigen,634900,170600
Brienz (BE),645300,178500
Brienzwiler,650600,178100
Därligen,628300,167900
Grindelwald,645700,163900
Gsteigwiler,633300,167100
Gündlischwand,636300,164700
Habkern,632500,175100
Hofstetten bei Brienz,648600,178300
Interlaken,632000,170300
Iseltwald,640200,173300
Lauterbrunnen,636500,161200
Leissigen,625600,167000
Lütschental,639400,165300
Matten bei Interlaken,632800,169700
Niederried bei Interlaken,637600,174200
Oberried am Brienzersee,640100,176400
Ringgenberg (BE),635000,172400
Saxeten,630100,165100
Schwanden bei Brienz,647200,178900
Unterseen,631200,170400
Wilderswil,632600,168000
Arni (BE),617200,198200
Biglen,614400,197300
Bowil,619600,193500
Brenzikofen,613400,185100
Freimettigen,614400,190700
Grosshöchstetten,615200,195100
Häutligen,612700,189600
Herbligen,612800,186400
Kiesen,611000,185400
Konolfingen,613900,192000
Landiswil,618300,200800
Linden,618300,188500
Mirchel,615900,193800
Münsingen,609400,191500
Niederhünigen,615200,191800
Oberdiessbach,613800,187700
Oberthal,617900,196100
Oppligen,612200,185600
Rubigen,608200,194200
Walkringen,613800,199500
Worb,609500,197600
Zäziwil,616900,194500
Oberhünigen,617100,192000
Allmendingen,606600,195900
Wichtrach,610500,188700
Clavaleyres,573500,194200
Ferenbalm,582700,198800
Frauenkappelen,592300,200400
Gurbrü,583000,201500
Kriechenwil,583900,195600
Laupen,584800,194600
Mühleberg,586600,200400
Münchenwiler,576200,195800
Neuenegg,589700,193800
Wileroltigen,584900,202100
Belprahon,597500,237200
Champoz,589400,233900
Corcelles (BE),601200,237100
Court,592400,232100
Crémines,600100,236900
Eschert,597000,236000
Grandval,599000,236900
Loveresse,584700,232400
Moutier,594900,236500
Perrefitte,592700,236000
Reconvilier,583800,231600
Roches (BE),595900,239000
Saicourt,582500,232500
Saules (BE),583400,232700
Schelten,608500,242500
Seehof,606200,239300
Sorvilier,589900,232000
Tavannes,581800,230000
Rebévelier,580000,237500
Petit-Val,585200,235900
Valbirse,587300,231900
La Neuveville,573800,212600
Nods,572800,218100
Plateau de Diesse,576600,216500
Aegerten,588600,219000
Bellmund,585300,217200
Brügg,588200,219200
Bühl,585300,213200
Epsach,583400,213200
Hagneck,580900,211800
Hermrigen,585200,214500
Jens,586600,216300
Ipsach,584500,218400
Ligerz,577100,214900
Merzligen,585800,215100
Mörigen,582900,214900
Nidau,584900,219300
Orpund,590000,220900
Port,586100,218400
Safnern,591300,222100
Scheuren,590800,220300
Schwadernau,590000,219800
Studen (BE),589300,218400
Sutz-Lattrigen,583300,216800
Täuffelen,581900,212900
Walperswil,584000,212100
Worben,588700,216300
Twann-Tüscherz,578600,215900
Därstetten,604100,167600
Diemtigen,609700,166400
Erlenbach im Simmental,608700,167800
Oberwil im Simmental,599600,167300
Reutigen,613900,171500
Spiez,618600,170600
Wimmis,615500,169500
Stocken-Höfen,608900,174000
Guttannen,665200,167600
Hasliberg,656300,177900
Innertkirchen,660400,173000
Meiringen,657200,175400
Schattenhalb,657600,174300
Boltigen,596500,164200
Lenk,600300,145100
St. Stephan,596700,150900
Zweisimmen,594900,155900
Gsteig,586800,137100
Lauenen,591100,141400
Saanen,587500,147500
Guggisberg,591600,179600
Rüschegg,595300,180700
Schwarzenburg,592600,185200
Belp,604700,193300
Burgistein,604800,181500
Gerzensee,608200,187600
Gurzelen,607200,181000
Jaberg,610000,185100
Kaufdorf,604600,187500
Kehrsatz,602500,195400
Kirchdorf (BE),608500,185500
Niedermuhlern,602100,190000
Riggisberg,603000,184300
Rüeggisberg,600100,185600
Rümligen,604500,186600
Seftigen,607700,181900
Toffen,604000,189800
Uttigen,610400,182600
Wattenwil,605400,179900
Wald (BE),602500,192300
Thurnen,605300,184700
Eggiwil,627300,191600
Langnau im Emmental,626400,198900
Lauperswil,623300,202100
Röthenbach im Emmental,623100,189300
Rüderswil,621600,203600
Schangnau,632200,186300
Signau,621900,196600
Trub,633600,199200
Trubschachen,630900,196900
Amsoldingen,610900,175100
Blumenstein,606300,176600
Buchholterberg,619600,185900
Eriz,625900,182000
Fahrni,616500,182500
Heiligenschwendi,619000,177600
Heimberg,612800,182500
Hilterfingen,616000,177200
Homberg,618800,180500
Horrenbach-Buchen,624000,181100
Oberhofen am Thunersee,617600,175500
Oberlangenegg,623500,184200
Pohlern,607800,174700
Sigriswil,621100,174000
Steffisburg,615000,180700
Teuffenthal (BE),620800,179600
Thierachern,610200,177900
Thun,614200,178400
Uebeschi,608900,176300
Uetendorf,610200,180400
Unterlangenegg,620000,182800
Wachseldorn,622300,185600
Zwieselberg,613600,173000
Forst-Längenbühl,606400,179200
Affoltern im Emmental,622300,212700
Dürrenroth,626800,215400
Eriswil,631300,214300
Huttwil,631100,218200
Lützelflüh,618700,206200
Rüegsau,617900,208300
Sumiswald,623300,208600
Trachselwald,622800,207400
Walterswil (BE),625600,218000
Wyssachen,629400,214900
Attiswil,613300,233300
Berken,620500,230500
Bettenhausen,620900,224700
Farnern,613900,235100
Graben,621300,229600
Heimenhausen,619800,228800
Herzogenbuchsee,620200,226300
Inkwil,617600,227900
Niederbipp,619500,235100
Niederönz,619200,226300
Oberbipp,616800,234400
Ochlenberg,622500,222100
Rumisberg,615300,234800
Seeberg,617500,222000
Thörigen,622000,224800
Walliswil bei Niederbipp,619100,231700
Walliswil bei Wangen,618500,231100
Wangen an der Aare,616400,231500
Wangenried,616500,229800
Wiedlisbach,615800,233500
Doppleschwand,646900,207700
Entlebuch,647600,204800
Flühli,644000,192600
Hasle (LU),646600,203400
Romoos,644800,206900
Schüpfheim,644200,200400
Werthenstein,650400,211600
Escholzmatt-Marbach,637800,196000
Aesch (LU),660800,234200
Altwis,661600,232200
Ballwil,666900,222800
Emmen,664800,214100
Ermensee,660700,231000
Eschenbach (LU),666900,220500
Hitzkirch,662500,230800
Hochdorf,664500,224500
Hohenrain,666700,225900
Inwil,669200,219500
Rain,661900,220000
Römerswil,661200,224600
Rothenburg,663000,216600
Schongau,662500,235600
Adligenswil,670300,213700
Buchrain,669000,216500
Dierikon,670800,216700
Ebikon,668600,215000
Gisikon,672900,220000
Greppen,675300,212000
Honau,673400,220700
Horw,666300,207900
Kriens,663800,209600
Luzern,666200,211800
Malters,656700,209800
Meggen,671000,211000
Meierskappel,676200,219800
Root,672300,218700
Schwarzenberg,655900,207600
Udligenswil,673100,215900
Vitznau,679500,207200
Weggis,675700,209500
Beromünster,657000,228600
Büron,649700,229400
Buttisholz,649800,218400
Eich,655300,222500
Geuensee,650700,227700
Grosswangen,646300,220400
Hildisrieden,660000,222500
Knutwil,648000,227800
Mauensee,647600,224300
Neuenkirch,658100,216700
Nottwil,653000,220700
Oberkirch,651300,223000
Rickenbach (LU),654200,230100
Ruswil,652200,215100
Schenkon,653100,224800
Schlierbach,651200,230700
Sempach,657100,220700
Sursee,650700,224700
Triengen,648400,231700
Wolhusen,648200,212100
Alberswil,642700,222500
Altbüron,633600,225600
Altishofen,639600,228000
Dagmersellen,641700,229200
Egolzwil,643100,226200
Ettiswil,643900,222200
Fischbach,635600,222800
Gettnau,640200,221200
Grossdietwil,634000,224500
Hergiswil bei Willisau,639400,215000
Luthern,636300,212200
Menznau,645600,215000
Nebikon,640800,226900
Pfaffnau,634800,231000
Reiden,640300,233000
Roggliswil,633900,229100
Schötz,641700,224500
Ufhusen,634800,218600
Wauwil,644300,226300
Wikon,640300,234700
Zell (LU),636700,221000
Willisau,641900,219100
Altdorf (UR),691800,192900
Andermatt,688600,165400
Attinghausen,690900,190700
Bauen,686900,199000
Bürglen (UR),693300,192300
Erstfeld,692500,186300
Flüelen,690400,195600
Göschenen,687900,169100
Gurtnellen,691000,177100
Hospental,686500,163700
Isenthal,685500,196100
Realp,681500,161400
Schattdorf,692800,191000
Seedorf (UR),689500,192800
Seelisberg,687400,202700
Silenen,694100,182900
Sisikon,690100,200500
Spiringen,698300,192100
Unterschächen,701500,191100
Wassen,688800,173400
Einsiedeln,699800,220400
Gersau,682700,205100
Feusisberg,699200,227100
Freienbach,701400,228700
Wollerau,697100,228000
Küssnacht (SZ),676100,215100
Altendorf,705500,227700
Galgenen,708800,226700
Innerthal,712400,218300
Lachen,707200,227700
Reichenburg,716500,225500
Schübelbach,712900,225800
Tuggen,714000,229100
Vorderthal,710900,220100
Wangen (SZ),710400,227700
Alpthal,697000,214100
Arth,683500,212100
Illgau,697900,204900
Ingenbohl,689000,206000
Lauerz,686700,210000
Morschach,689800,204000
Muotathal,700400,203500
Oberiberg,702100,210700
Riemenstalden,693500,200300
Rothenthurm,693900,217800
Sattel,690900,215200
Schwyz,692400,208500
Steinen,689300,211600
Steinerberg,687000,212000
Unteriberg,703600,212900
Alpnach,663600,199200
Engelberg,673700,186100
Giswil,657100,187800
Kerns,663700,194800
Lungern,654900,181800
Sachseln,661000,191200
Sarnen,661400,194200
Beckenried,678800,202200
Buochs,674700,203000
Dallenwil,672400,197600
Emmetten,682200,201200
Ennetbürgen,674300,204200
Ennetmoos,667200,199400
Hergiswil (NW),666400,204400
Oberdorf (NW),672100,201200
Stans,670600,201100
Stansstad,668500,203300
Wolfenschiessen,672900,195800
Glarus Nord,723200,217800
Glarus Süd,724300,206100
Glarus,723700,211300
Baar,682600,227800
Cham,677400,226100
Hünenberg,674900,225200
Menzingen,687300,226000
Neuheim,686100,228900
Oberägeri,689200,221100
Risch,675100,221600
Steinhausen,679300,227900
Unterägeri,686900,221300
Walchwil,681700,217200
Zug,681800,224700
Châtillon (FR),553400,187000
Cheiry,554000,177800
Cugy (FR),558200,184900
Fétigny,560100,183100
Gletterens,561800,193900
Lully (FR),554800,187100
Ménières,557400,181500
Montagny (FR),566200,185200
Nuvilly,553600,181500
Prévondavaux,550900,175600
Saint-Aubin (FR),565100,193400
Sévaz,557000,187600
Surpierre,555800,177200
Vallon,563100,192700
Les Montets,556500,185100
Delley-Portalban,563200,196300
Belmont-Broye,567600,190700
Estavayer,555000,188900
Cheyres-Châbles,550300,185000
Auboranges,551500,159200
Billens-Hennens,558700,171200
Chapelle (Glâne),553700,159800
Le Châtelard,564700,169700
Châtonnaye,561800,178200
Ecublens (FR),551800,162200
Grangettes,563400,169700
Massonnens,564500,172200
Mézières (FR),560800,169800
Montet (Glâne),552200,166100
Romont (FR),560300,171800
Rue,552900,163400
Siviriez,557100,167600
Ursy,553700,165000
Vuisternens-devant-Romont,561000,167300
Villorsonnens,566100,174000
Torny,563900,180000
Villaz,563200,174400
Haut-Intyamon,570600,151900
Pont-en-Ogoz,573000,170700
Botterens,575000,163400
Broc,574000,161400
Bulle,570800,162700
Châtel-sur-Montsalvens,576000,162500
Corbières,574200,167600
Crésuz,577100,163100
Echarlens,572100,166400
Grandvillard,573000,154200
Gruyères,572700,159200
Hauteville,574800,168800
Jaun,587700,162200
Marsens,571200,167200
Morlon,573000,163900
Le Pâquier (FR),570600,160300
Pont-la-Ville,574900,172200
Riaz,571100,165500
La Roche,577000,171700
Sâles,564400,165000
Sorens,571000,168700
Vaulruz,565600,163400
Vuadens,568100,163000
Bas-Intyamon,572800,157300
Val-de-Charmey,578800,163500
Arconciel,575900,177300
Autigny,568100,176200
Avry,571900,182000
Belfaux,574700,185600
Chénens,566600,176700
Corminboeuf,574500,184200
Cottens (FR),568900,177900
Ependes (FR),577600,178200
Ferpicloz,579300,177400
Fribourg,577900,183600
Givisiez,576500,184800
Granges-Paccot,577400,186000
Grolley,571900,187000
Marly,578800,180600
Matran,573900,181500
